frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y
136,0,4.500,0.98,1,0.829079,0.101343,-0.549871,0.816612,0.165757,-0.552874,0.980,0.238
137,0,4.533,0.98,1,0.822537,0.107925,-0.558377,0.816174,0.167568,-0.552974,0.975,0.243
138,0,4.567,0.98,1,0.817379,0.114579,-0.564592,0.811622,0.172325,-0.558188,0.967,0.250
139,0,4.600,0.98,1,0.814997,0.122629,-0.566340,0.807244,0.180153,-0.562051,0.963,0.262
140,0,4.633,0.98,1,0.813980,0.119746,-0.568417,0.804392,0.172985,-0.568357,0.958,0.252
141,0,4.667,0.98,1,0.817121,0.109691,-0.565933,0.809017,0.161860,-0.565060,0.963,0.236
142,0,4.700,0.98,1,0.818739,0.096926,-0.565925,0.812611,0.144603,-0.564582,0.965,0.210
143,0,4.733,0.98,1,0.817111,0.094834,-0.568627,0.808397,0.138486,-0.572115,0.959,0.202
144,0,4.767,0.98,1,0.817636,0.097866,-0.567356,0.809542,0.137222,-0.570799,0.960,0.204
145,0,4.800,0.98,1,0.818095,0.100682,-0.566201,0.811784,0.137337,-0.567578,0.963,0.207
146,0,4.833,0.98,1,0.822225,0.094292,-0.561297,0.814152,0.129962,-0.565921,0.968,0.196
147,0,4.867,0.98,1,0.819708,0.084334,-0.566539,0.816717,0.118172,-0.564808,0.966,0.177
148,0,4.900,0.98,1,0.819696,0.074737,-0.567901,0.821578,0.105521,-0.560245,0.969,0.158
149,0,4.933,0.98,1,0.826221,0.070559,-0.558910,0.822752,0.098155,-0.559861,0.975,0.150
150,0,4.967,0.98,1,0.825207,0.057691,-0.561877,0.824410,0.082723,-0.559916,0.974,0.125
151,0,5.000,0.98,1,0.827990,0.050156,-0.558495,0.827578,0.073409,-0.556530,0.978,0.110
152,0,5.033,0.98,1,0.827049,0.050847,-0.559825,0.822774,0.073927,-0.563540,0.973,0.111
153,0,5.067,0.98,1,0.824306,0.055243,-0.563443,0.820395,0.079366,-0.566263,0.969,0.119
154,0,5.100,0.98,1,0.819619,0.059483,-0.569813,0.818115,0.083696,-0.568931,0.963,0.125
155,0,5.133,0.98,1,0.818891,0.067677,-0.569945,0.817353,0.090163,-0.569039,0.963,0.138
156,0,5.167,0.98,1,0.818536,0.072714,-0.569834,0.816637,0.092939,-0.569619,0.962,0.144
157,0,5.200,0.98,1,0.811329,0.090518,-0.577540,0.811048,0.111589,-0.574237,0.953,0.174
158,0,5.233,0.98,1,0.808452,0.115982,-0.577022,0.804521,0.137637,-0.577756,0.949,0.216
159,0,5.267,0.98,1,0.805096,0.129979,-0.578728,0.804441,0.147870,-0.575334,0.949,0.236
160,0,5.300,0.98,1,0.805972,0.131980,-0.577053,0.803448,0.146941,-0.576957,0.949,0.237
161,0,5.333,0.98,1,0.809864,0.138998,-0.569912,0.798113,0.155037,-0.582220,0.949,0.250
162,0,5.367,0.98,1,0.808289,0.142656,-0.571242,0.798955,0.159366,-0.579891,0.949,0.257
163,0,5.400,0.98,1,0.809342,0.153805,-0.566842,0.795221,0.173559,-0.580949,0.950,0.278
164,0,5.433,0.98,1,0.804274,0.169402,-0.569602,0.786346,0.193195,-0.586801,0.942,0.304
165,0,5.467,0.98,1,0.798146,0.187511,-0.572541,0.777689,0.214608,-0.590883,0.935,0.333
166,0,5.500,0.98,1,0.786846,0.204242,-0.582373,0.766916,0.234615,-0.597324,0.921,0.356
167,0,5.533,0.98,1,0.784979,0.225776,-0.576916,0.764766,0.258953,-0.589980,0.925,0.394
168,0,5.567,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
169,0,5.600,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
170,0,5.633,0.98,1,0.751748,0.292159,-0.591200,0.739967,0.333009,-0.584426,0.903,0.489
171,0,5.667,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
172,0,5.700,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
173,0,5.733,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
174,0,5.767,0.03,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
175,0,5.800,0.88,1,0.804126,0.114200,-0.583387,0.791088,0.121030,-0.599610,0.933,0.196
176,0,5.833,0.98,1,0.798791,0.137213,-0.585752,0.790542,0.147685,-0.594334,0.932,0.237
177,0,5.867,0.98,1,0.796038,0.154464,-0.585204,0.785224,0.168595,-0.595818,0.929,0.267
178,0,5.900,0.98,1,0.800232,0.153214,-0.579788,0.780070,0.172680,-0.601392,0.929,0.269
179,0,5.933,0.98,1,0.798794,0.133390,-0.586630,0.773008,0.153718,-0.615491,0.918,0.234
180,0,5.967,0.98,1,0.799570,0.108572,-0.590678,0.757730,0.133827,-0.638699,0.903,0.195
181,0,6.000,0.98,1,0.782611,0.108923,-0.612908,0.730050,0.141638,-0.668555,0.868,0.193
182,0,6.033,0.98,1,0.749705,0.101188,-0.653990,0.682606,0.126638,-0.719731,0.806,0.164
183,0,6.067,0.22,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
184,0,6.100,0.28,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000,0.000
